"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1",63.8516349963604,15.0746736505728,1.74757480780485,62.7644018405369,0.119799011444979,2.18211018139371,8.56897737718715,-6.81510846305028,9.55335137757989,4.67505544531064,-4.29902079894483,-5.74933952180215,10.0268045447556,3.93508793517954
"2",0.0605715565915673,0.0108577615911289,0.0581237244828327,0.0445259422763562,0.0667149398140477,0.0109260934624723,0.159318365036667,0.0647117166322229,0.0989691465532603,0.0173352086440537,0.152386846402414,0.0258328006866299,0.0983949309110971,0.0823194726030065
"3",0,0,0,0,0,0,0,0,0,0,0,0,-0.0340777630121803,0
"4",-0.00911544718566412,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,-0.170533374499663,0,0,0,0,0,0,0,0,0,0
"6",0,-0.0526882543031842,0,0,0,0,0,0,0,0,0,-0.0446522502366929,-0.137128205978377,0
"7",-0.190767668243213,0,0,0,0,0,0,0,-0.0906757633656293,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0.0535592584290117,0,0
"10",0,0,0,0,0,0,-0.185254195178564,0,0,0,0,0,0,0
"11",-0.0160349678620834,-0.0298723325929082,0,0,0,0,0,0,0,0,0,0,0,-0.045224952563412
"12",0,0,-0.00794028891643329,-0.062903456296168,0,-0.0151674447983233,0,0,0,0,0,0,0,0
"13",0,-0.037287491414338,0,-0.0547518723787793,0,0,0,0.00269971742626606,0,0,0,-0.00356966657998407,0,0
"14",0,0,-0.0244855857593731,0,0,0,0,0,-0.0469313738472664,0,0,0,0,0
"15",0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003,0.93180235865003
