"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1",82.7086093783971,16.4102099771629,53.104988856957,81.7373499566001,34.3984156766716,7.74480621847177,132.575212288259,21.0015682687848,43.1785565124546,-0.856650512859334,65.390471436626,-173.828831216623,31.5167056084898,20.8192268606703
"2",0.0673187433121071,0.0117686481920423,0.0649227900789191,0.0493996898408198,0.0743583880522686,0.0119335762142906,0.177352860457451,0.0716132832772384,0.110237187807991,0.0190936696521528,0.170092515007977,0.0290708461308838,0.109150588611603,0.0911478203487682
"3",-0.160416553519778,0,-0.0127372108833772,0.16372464244527,0,0,-0.163656299920061,0.00590196859348708,0,-0.0663049276432048,-0.0373891458226917,0.259724135023048,-0.238293425505117,-0.0740411989879043
"4",0,0,0,0,0,0,0,0,-0.0615581072210767,0,0,0.0118786714101372,-0.137377025916421,0
"5",0,0,-0.275078443361001,-0.265747788170439,0.124965728058584,0,0,1.2350104760456,0,0,0.211242445911916,0.0280590484110709,0,0
"6",0,-0.0592895106823679,-0.0464514559830547,0,0,0,0,0,0,0,0,0.589866190835322,-0.000344095604644072,0
"7",0,0,0,0,-0.401142220813044,0,-0.13159575323663,-0.433071007841223,-6.81403339584725e-05,0,0,-1.40249594308713,0,0
"8",0,0,0,-0.106513882243145,0,0,0,0,-0.106538304274111,0,0,0,0,0
"9",-0.0634305320727847,0,0,0,0,0,-0.686089111502997,-1.10727661061834,0,0.0471528013725132,-0.120664294756143,1.39945967308129,0,0
"10",0,0,0,0,-0.105329195109969,0,0,0,-0.190048457338684,0,0,-1.05833581923892,0,0
"11",-0.149064481642957,-0.0391778947544888,0,0,0,0,0,0,-0.0182583847657714,0,0,1.74602714260155,-0.000117458466136604,-0.0745332366880996
"12",-0.0898531275131726,0,-0.240636792305718,-0.223879441146096,0,-0.0746984261844492,-0.0233976225056759,0.630403436635293,-0.0612988099601556,0.0650267835678301,-0.819757495399943,0.595812258386316,-0.0619406370944894,-0.0441669859180868
"13",-0.0159746767010978,-0.0394032613679211,0,-0.0654567868815585,0.111838729472018,0,0,0.0188133066590781,0,0,0,-0.459989982847361,0,-0.0400842840056499
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855,0.951728188627855
