"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1",23.241885564962,6.03891561707355,-1.36269000611939,5.15700148110631,-0.193003029815571,0.721802603821164,-12.1167682585676,-7.37023094245807,-5.2560657833927,-17.6810218022644,-4.85893868783911,-66.1035760545313,-7.5940787797614,-0.589921311157063
"2",0.0702908303247043,0.0140729968739375,0.0556285982952101,0.0531945458722128,0.0764922451519175,0.0128270130737846,0.189451249651085,0.068409096827107,0.121172575725079,0.0204261307045785,0.161052163001814,0.0391455529918163,0.115509070150457,0.090179738973479
"3",0,0,0,0.365907445618135,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0.00210907983574688,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0.322979490602145,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,2.09954700894477e-05,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0.228264132794298,0,0.262426732170055,0,0
"13",0,-0.00974329422320359,0,0,0,0,0,0.00440031315084676,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
