"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1",39.2856778880408,1.85073537420012,31.112390641154,30.4469719157166,-1.19259114550457,-3.21206300449243,-12.5360719558147,6.64735449091541,-1.09735695268658,-29.0483533324115,9.94263787315751,-308.771948288592,34.6072302525549,5.113620915335
"2",0.0784051627544981,0.0156436117654589,0.0621735478460854,0.0586359833747449,0.0843856254812941,0.0137325952332325,0.209339912762073,0.0755915711988419,0.134292754207622,0.0222945751140075,0.178856290068395,0.0438740117543795,0.128657968245672,0.0999374250229011
"3",0.194689700886369,0.0192706605380635,-0.0154467211641312,0.670254847866639,-0.00759606785756767,0.00364025931507809,-0.0217661374500435,0,0,0,-0.0366366834849801,0.567302277788487,-0.888810700231998,0
"4",0,0,0,0,0,0,0,0,0,0,0,0.190511373590186,-0.00433409962935928,0
"5",-0.0351057938525639,-0.0267151004114321,-0.0532241543394535,-0.173912088226159,0.137158113218156,0,0.100472881331232,1.1265947061477,0,0.0329655961385072,0.20348779194143,0.0586433391461439,-0.325372397978796,0
"6",0,0,-0.036384861545132,0,0,0,0,0,0,0,0,1.36244675610776,-0.0713946836041796,0
"7",0,0,0,0,-0.10991774552232,0,0,-0.361356114497529,0,0,0,-2.66688754862525,1.07101968728286,0
"8",0,0,0,0,0,0,0,0,-0.0438056116586752,0,0,0,-0.22449528490414,0
"9",0,0.0661942367815858,0,-0.269863208378333,0,0,-0.15492512670499,-0.982834799000614,0,0,-0.13789695995024,2.56015452226261,-1.29204016881114,0
"10",0,0,0,0,-0.14039589100494,0,0,0,0,0,0,-2.15859191117252,0.467966596561309,0
"11",-0.057185527598004,0,0,0,0,0,0,0,0,0.0204006241001809,0,3.48250300031064,-0.766838277692613,0
"12",-0.250671025355285,-0.00610837834634272,-0.247831073882431,-0.12521818225437,0,0,0,0.698624644403207,-0.00264908900035902,0.283630804977517,-0.248652836862697,0.814829061374192,0.773864784164225,-0.0684357837379817
"13",-0.0475354930257578,-0.0294228435080132,0,0,0.110499835847429,0,0,0.0168461618793453,-0.0539115252689444,0,0,-1.06693201009017,0.0083181653092294,-0.0325428455952793
"14",0,0,0,0,0,0,0,0,0,0,0,0.653553161494362,0.0604492536798479,0
