Section,Year,Perc_10,Perc_20,Perc_30,Perc_40,Perc_50,Perc_60,Perc_70,Perc_80,Perc_90,Perc_100,All
Lower Bound,2019,0,220,329,431,544,679,836,1024,1273,1723,0
1,2019,32.8,41.1,46.3,52.1,58.2,66,67,73.4,83.3,98.9,61.9
2,2019,9.5,7.7,9.8,11.1,11.4,13.9,13.3,17.4,15.5,20.2,13
3,2019,8.3,10.9,14.7,16.2,19.3,23.7,25.3,31.4,41,54.2,24.5
4,2019,52.5,58.8,71.9,79.1,78.6,81.4,81.1,94.3,92.4,103.8,79.4
5,2019,16,17.3,22.6,31.4,37.9,42.4,37.5,44.2,67.4,93.1,41
6,2019,3.6,4.9,4,9.6,8.1,7.2,8,8.8,12.9,13.1,8
7,2019,21.6,30.9,43,54.3,70.3,87.8,103.8,120.1,130.9,187.9,85
7.1,2019,7.1,7.8,11.6,18.4,25.1,32.3,40,44,38,63.2,28.8
7_other,2019,14.5,23.1,31.4,35.9,45.2,55.5,63.8,76.1,92.9,124.7,56.2
8,2019,11.1,12.6,15.9,18.1,22.1,22.4,23.1,26.9,27.8,33.5,21.3
9,2019,24.1,33,37.5,45.8,70.2,73.7,93.2,101.1,128.3,164.7,77.2
10,2019,5.5,10.1,8.6,13.9,22.3,27.7,35.6,43.3,47.9,68.7,28.4
11,2019,14.7,19.4,27.2,30.7,44.3,48,57,68.7,85.5,118.6,51.4
12,2019,16.8,20.8,30.1,34.4,41.6,45,45.1,55.3,69.9,98,45.7
Lower Bound,2018,0,216,322,432,548,681,812,986,1252,1713,0
1,2018,30.6,40,48.4,52.7,56.6,63.6,67,75.2,83.2,92.9,61
2,2018,7.3,8.2,9.4,9.9,12.3,13.2,13.9,15.7,15.3,20.8,12.6
3,2018,7.6,9.7,13.5,15.6,19.7,23.7,29.8,30.5,41.4,55.6,24.7
4,2018,50.5,53.3,66.9,69.7,80.5,86.4,87.3,80.7,83.4,103.2,76.2
5,2018,13.7,18.5,26.5,28,33.6,37.1,43.5,52.4,60.6,95.1,40.9
6,2018,1.8,2.8,5,4.5,6.9,6,7.3,9,12.9,13.4,7
7,2018,16.5,26.6,39.3,56.1,63.6,77.7,93.1,110.1,120.6,208.4,81.2
7.1,2018,3.1,6.8,11.2,21.4,21.8,23.1,32.1,41.9,36,81.7,27.9
7_other,2018,13.4,19.8,28.1,34.7,41.8,54.6,61,68.2,84.6,126.7,53.3
8,2018,8.4,11,13.9,14.8,16.9,18.2,20.7,22.4,24,28.6,17.9
9,2018,22.9,30.5,46.8,48.4,61,80.1,83.1,94.1,112.7,170.8,75
10,2018,..,..,0.9,4.5,1.4,3,11.9,13.4,3.5,41.4,8.7
