"","good","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",0.0813404367222111,0.00223228316690837,0.988768178857409,0.988768178857409
"2","2",-0.0154155221211186,0.00282198011895433,0.945318250996673,0.945318250996673
"3","3",-0.0386364837233149,0.501308601417984,0.982023109571346,0.982023109571346
"4","4",0.435657838619662,4.50734384939918e-19,0.925830619848885,0.925830619848885
"5","5",0.29975386459809,4.82201990971869e-05,0.937357743188097,0.937357743188097
"6","6",0.051435515167862,0.000247439708281306,0.843409882311322,0.843409882311322
"7","7",0.342391383676053,4.50878455494795e-09,0.986845860717624,0.986845860717624
"8","7.1",0.0982122635578997,0.713323314473313,0.925939504065245,0.925939504065245
"9","7_other",0.129806956533203,0.00166122041225926,0.993910815332096,0.993910815332096
"10","8",0.175107216085805,9.15797322249903e-32,0.962379609670503,0.962379609670503
"11","9",0.609363797215979,3.51384824059861e-07,0.987843173385513,0.987843173385513
"12","10",0.0841623072579976,0.00348108615091743,0.686321197668863,0.686321197668863
"13","11",0.198451435401271,1.63631016382111e-10,0.988781381088553,0.988781381088553
"14","12",0.145952638768509,0.0024856280543513,0.989147193194913,0.989147193194913
