"","A","Alpha","Beta","MSE","direction"
"1",1.4,0.333,0.333,0.102412215258449,1
"2",1.4,0.333,0.333,0.102412215258449,27
"3",1.4,0.333,0.333,0.102412215258449,27
"4",1.4,0.333,0.333,0.102412215258449,27
"5",1.4,0.333,0.333,0.102412215258449,27
"6",1.4,0.333,0.333,0.102412215258449,27
"7",1.4,0.333,0.333,0.102412215258449,27
"8",1.4,0.333,0.333,0.102412215258449,27
"9",1.4,0.333,0.333,0.102412215258449,27
"10",1.4,0.333,0.333,0.102412215258449,27
"11",1.4,0.333,0.333,0.102412215258449,27
"12",1.4,0.333,0.333,0.102412215258449,27
"13",1.4,0.333,0.333,0.102412215258449,27
"14",1.4,0.333,0.333,0.102412215258449,27
"15",1.4,0.333,0.333,0.102412215258449,27
"16",1.4,0.333,0.333,0.102412215258449,27
"17",1.4,0.333,0.333,0.102412215258449,27
"18",1.4,0.333,0.333,0.102412215258449,27
"19",1.4,0.333,0.333,0.102412215258449,27
"20",1.4,0.333,0.333,0.102412215258449,27
"21",1.4,0.333,0.333,0.102412215258449,27
"22",1.4,0.333,0.333,0.102412215258449,27
"23",1.4,0.333,0.333,0.102412215258449,27
"24",1.4,0.333,0.333,0.102412215258449,27
"25",1.4,0.333,0.333,0.102412215258449,27
"26",1.4,0.333,0.333,0.102412215258449,27
"27",1.4,0.333,0.333,0.102412215258449,27
"28",1.4,0.333,0.333,0.102412215258449,27
"29",1.4,0.333,0.333,0.102412215258449,27
"30",1.4,0.333,0.333,0.102412215258449,27
"31",1.4,0.333,0.333,0.102412215258449,27
"32",1.4,0.333,0.333,0.102412215258449,27
"33",1.4,0.333,0.333,0.102412215258449,27
"34",1.4,0.333,0.333,0.102412215258449,27
"35",1.4,0.333,0.333,0.102412215258449,27
"36",1.4,0.333,0.333,0.102412215258449,27
"37",1.4,0.333,0.333,0.102412215258449,27
"38",1.4,0.333,0.333,0.102412215258449,27
"39",1.4,0.333,0.333,0.102412215258449,27
"40",1.4,0.333,0.333,0.102412215258449,27
