"","good","int","int_pr","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",-112.615666120305,5.13107962132423e-47,26.7019985963185,4.58397186048371e-62,0.904669098043351,0.903861209043718
"2","2",-18.5788970632365,1.1443603728894e-14,4.58144040208734,3.25048051756059e-24,0.583901369543317,0.580375109963175
"3","3",-123.048089343906,1.2593224934358e-49,24.6563551474903,3.96198685209557e-57,0.884435515485158,0.883456155446897
"4","4",-64.7886161874653,3.92234585350452e-26,19.9610945588874,7.55697845302604e-49,0.840417060089998,0.83906466229415
"5","5",-136.460054716589,1.13758292788759e-39,27.7854897719638,2.74093272478582e-47,0.830419332030057,0.828982207725227
"6","6",-22.807887068039,3.15851897134851e-34,4.73742075782685,3.41243435189916e-42,0.79319086922382,0.79143824947148
"7","7.1",-143.689111901823,1.17302696757535e-39,27.7303570277273,1.72652449210679e-44,0.865538693739945,0.864166639594434
"8","7_other",-215.719748305384,3.06014582870777e-47,42.7274983462318,2.4499391697052e-53,0.911233636130396,0.910327856907237
"9","8",-34.3550855461124,1.53981377261572e-73,7.82116313470874,4.94042782554878e-88,0.965378827975063,0.96508542821214
"10","9",-321.979809396478,3.32026046345636e-53,64.4362337006451,8.40422153914865e-61,0.899855860269378,0.899007181119118
"11","10",-52.3368640814324,7.12587942067069e-15,9.82869818941463,3.09109388829108e-17,0.463363215944447,0.458696809126573
"12","11",-208.36929876519,9.70919607607999e-45,41.0901884751543,2.73741533816049e-51,0.854897431462871,0.853667748678658
"13","12",-172.260458972428,1.84797701613076e-50,34.8464272692307,1.96866992024255e-58,0.890162558583812,0.889231732809099
