"","good","int","int_pr","coef_1","coef_1_pr","coef_2","coef_2_pr","model_r2","model_ad_r2"
"1","1",73.1062808386095,3.51498693651083e-29,0.0675378760788323,1.16580318459825e-73,-0.574942896824203,5.29742386816214e-21,0.942838952518906,0.941861840596153
"2","2",14.6688953470613,1.4765760805763e-50,0.0121091196662594,5.64544944105439e-54,-0.120419924633452,1.19615002834473e-40,0.905879676245509,0.904270781822356
"3","3",45.7514992363194,1.16456012028952e-07,0.0648186278202876,7.03646829950933e-87,-0.49897975588865,1.10979481072693e-08,0.964912904843579,0.964313125439195
"4","4",59.1076355759015,5.8593184213884e-25,0.0496915592311675,1.80290935786464e-47,-0.279475336368508,2.74251681113093e-08,0.837787414905431,0.835014550202959
"5","5",19.4102708495907,0.000942001953627349,0.0746793824091551,1.96445439807501e-73,-0.230735851154562,0.000141811010088422,0.940263091978166,0.939241948251297
"6","6",3.15709876318159,0.00665807774455154,0.0122313551712541,1.28145844493825e-46,-0.0313710343199923,0.00889290556256038,0.828628031333055,0.825698595971227
"7","7.1",39.4831773734862,0.0734703175372686,0.0720977389974546,1.74252325659738e-61,-0.484592700337524,0.0268660067293411,0.941194214269594,0.939981723842163
"8","7_other",45.7761947575455,7.04832286372928e-15,0.110746090038501,4.80881744027687e-91,-0.535376482256549,9.27608715588903e-19,0.985597492994028,0.985300534086688
"9","8",5.0562799097456,1.94028133212441e-05,0.0193065420095897,2.40838943073458e-67,-0.0122381772504361,0.298251728693534,0.924316458258653,0.923022722502391
"10","9",77.3042677318907,1.68735680445869e-11,0.170648222424985,9.24550112590601e-114,-0.887371193605669,5.23378469931857e-14,0.987778694683202,0.987569783481205
"11","10",-2.18521913250725,0.205090546658743,0.0290960242177497,1.32682114015392e-27,-0.0475636165891442,0.0104661063116041,0.648690396564276,0.64252707018821
"12","11",26.5189610338397,1.17984901428958e-10,0.110242481781218,1.1204014573635e-90,-0.389493954495202,1.25178774602507e-17,0.96987416425612,0.969359192704942
"13","12",49.8300191843654,1.32888056350209e-14,0.0922158570459911,1.23338316115838e-100,-0.551671137793526,2.1581055396878e-16,0.979562440203567,0.979213080207047
