"","good","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",0.101897035969419,1.50260439206244e-86,0.962280924344984,0.961963957322673
"2","2",0.0189727652937563,1.10306172338916e-66,0.918665843327276,0.917982363019102
"3","3",0.0564755675291084,2.1869789787762e-108,0.983795636923141,0.983659465804848
"4","4",0.11492876609869,1.61824228730646e-67,0.921245809723959,0.920584009805673
"5","5",0.0683423575765801,1.132958047187e-106,0.982684268709033,0.98253875836205
"6","6",0.0124741127611319,1.99757499576902e-86,0.962100047979773,0.961781560988007
"7","7.1",0.0529910097576905,1.11584662101573e-66,0.951070153032068,0.950575912153604
"8","7_other",0.092729059141542,1.01129879484345e-90,0.984004105687735,0.983842530997712
"9","8",0.0270736408833181,7.04177541893331e-96,0.973708779616003,0.973487844990927
"10","9",0.14693150648536,3.69225027010801e-120,0.989724676935451,0.989638329682807
"11","10",0.0165545926749649,5.28647525967177e-32,0.698745762821052,0.696148743535027
"12","11",0.0877192337821225,5.87221032200515e-93,0.970562997773276,0.970315628006665
"13","12",0.0831422950964989,2.72495106259806e-119,0.989373663035342,0.989284366086059
