"","good","int","int_pr","coef_1","coef_1_pr","coef_2","coef_2_pr","model_r2","model_ad_r2"
"1","1",135.924500895361,2.51912485253027e-15,27.2617303007117,3.93955354352609e-92,-55.0559602687453,2.98469291891579e-33,0.972370511786632,0.971898212842813
"2","2",28.7131231564043,1.19516759324477e-24,4.88874185163349,1.4335305747419e-60,-10.8672923988815,3.46123993964829e-46,0.92742955930746,0.926189038953742
"3","3",95.2102129279743,0.14292209236352,24.7828053078133,5.86628432765543e-59,-47.5640731899774,0.000953958045975892,0.894770584355795,0.89297179092598
"4","4",50.6097108581522,0.00256211700125591,20.373253287556,2.45512058958573e-57,-25.9096854779113,5.09802059436888e-11,0.889797179882905,0.887913370992015
"5","5",-35.4840697253484,0.400388157128786,28.0182467622577,3.74770010016702e-48,-22.3513528501021,0.0164973746330115,0.838584497156524,0.835825257791679
"6","6",-9.45002934865783,0.0918247182235249,4.78490381911153,3.94509999824723e-43,-2.98742989978039,0.0149559184901243,0.803439937799185,0.800079936735923
"7","7.1",80.597021427568,0.594908337446843,27.8004405028933,1.60245682928523e-44,-48.6599482054311,0.140521600959281,0.868531568992069,0.865820879692936
"8","7_other",32.7414028284858,0.522287356375755,43.1518228903178,2.02602758253658e-57,-54.2512120322023,3.50772788714978e-06,0.92897286886125,0.927508391930555
"9","8",-27.4703693351618,5.86354480768156e-13,7.84575859072168,3.63651031601008e-88,-1.53994685833598,0.0389054301735968,0.96662334026574,0.966052799073702
"10","9",87.1995731954259,0.513058659431947,64.9800330424353,2.70024934895209e-62,-89.4995949491667,0.00250287238142122,0.907410895518894,0.905828175784174
"11","10",-36.2687634111378,0.000152960898168545,10.1166678209124,4.53109869674e-18,-4.02714559736813,0.0288033985726592,0.485490536060817,0.476464054237323
"12","11",-41.1255294637331,0.226364556570897,41.7278399208481,8.12532240631768e-56,-37.454472366392,1.29916882053266e-06,0.881324967600453,0.879296334567982
"13","12",72.9376381052292,0.183724159099502,35.2417913790671,5.43918871919794e-62,-53.9532851880696,1.4617546716895e-05,0.906519563524213,0.904921607345139
